group1,group1_level,variable,variable_level,context,stat_name,stat_label,stat_value
TRT01A,Placebo,AGE,NA,continuous,mean,Mean,75.2093023255814
TRT01A,Placebo,AGE,NA,continuous,sd,SD,8.59016712714193
TRT01A,Placebo,AGE,NA,continuous,median,Median,76
TRT01A,Placebo,AGE,NA,continuous,p25,Q1,69
TRT01A,Placebo,AGE,NA,continuous,p75,Q3,82
TRT01A,Placebo,AGE,NA,continuous,min,Min,52
TRT01A,Placebo,AGE,NA,continuous,max,Max,89
TRT01A,Xanomeline High Dose,AGE,NA,continuous,mean,Mean,73.7777777777778
TRT01A,Xanomeline High Dose,AGE,NA,continuous,sd,SD,7.94385620024705
TRT01A,Xanomeline High Dose,AGE,NA,continuous,median,Median,75.5
TRT01A,Xanomeline High Dose,AGE,NA,continuous,p25,Q1,70
TRT01A,Xanomeline High Dose,AGE,NA,continuous,p75,Q3,79
TRT01A,Xanomeline High Dose,AGE,NA,continuous,min,Min,56
TRT01A,Xanomeline High Dose,AGE,NA,continuous,max,Max,88
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,mean,Mean,75.9583333333333
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,sd,SD,8.11355807037847
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,median,Median,78
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,p25,Q1,71
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,p75,Q3,82
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,min,Min,51
TRT01A,Xanomeline Low Dose,AGE,NA,continuous,max,Max,88
TRT01A,Placebo,SEX,F,categorical,n,n,53
TRT01A,Placebo,SEX,F,categorical,N,N,86
TRT01A,Placebo,SEX,F,categorical,p,%,0.616279069767442
TRT01A,Placebo,SEX,M,categorical,n,n,33
TRT01A,Placebo,SEX,M,categorical,N,N,86
TRT01A,Placebo,SEX,M,categorical,p,%,0.383720930232558
TRT01A,Placebo,RACE,AMERICAN INDIAN OR ALASKA NATIVE,categorical,n,n,0
TRT01A,Placebo,RACE,AMERICAN INDIAN OR ALASKA NATIVE,categorical,N,N,86
TRT01A,Placebo,RACE,AMERICAN INDIAN OR ALASKA NATIVE,categorical,p,%,0
TRT01A,Placebo,RACE,BLACK OR AFRICAN AMERICAN,categorical,n,n,8
TRT01A,Placebo,RACE,BLACK OR AFRICAN AMERICAN,categorical,N,N,86
TRT01A,Placebo,RACE,BLACK OR AFRICAN AMERICAN,categorical,p,%,0.0930232558139535
TRT01A,Placebo,RACE,WHITE,categorical,n,n,78
TRT01A,Placebo,RACE,WHITE,categorical,N,N,86
TRT01A,Placebo,RACE,WHITE,categorical,p,%,0.906976744186046
